"Original	Titulo	Anio	Sinopsis	Link_Imagen	Generos	Puntuacion_IMDb	Temporadas	Episodios";;
"Hotel Transylvania 4 - Transformania [2022][1080p][3.22 Gb]	Hotel Transilvania: Transformanía	2022	""Drac y la pandilla vuelven, como nunca los habías visto antes en Hotel Transilvania: Transformanía. Volveremos a encontrarnos con nuestros monstruos favoritos en una aventura completamente nueva en la que Drac se enfrentará a una de las situaciones más aterradoras vividas hasta el momento. Cuando el misterioso invento de Van Helsing, el """"Rayo Monstrificador"""", se vuelve totalmente fuera de control, Drac y sus monstruosos amigos se transforman en humanos, ¡y Johnny se convierte en un monstruo!""	https://image.tmdb.org/t/p/w500/xNF8AxJc966FWk4SYqXxGHaZLHZ.jpg	Animación, Comedia, Familia, Aventura, Fantasía	7.035	0	0";;
"How to Train Your Dragon [2010][1080p][3.82 Gb]	How to Train Your Dragon: Legends	2010		https://image.tmdb.org/t/p/w500/4kEVqHV5egVoSl8OhDMImJozSaj.jpg	Familia, Animación, Aventura	7.825	0	0";;
"How to Train Your Dragon 2 [2014][1080p][3.97 Gb]	Cómo entrenar a tu dragón 2	2014	Han pasado cinco años desde que Hipo empezó a entrenar a su dragón, rompiendo la tradición vikinga de cazarlos. Astrid y el resto de la pandilla han conseguido difundir en la isla un nuevo deporte: las carreras de dragones. Mientras realizan una carrera, atraviesan los cielos llegando a territorios inhóspitos, donde nadie antes ha estado. Durante un viaje descubren una cueva cubierta de hielo que resulta ser el refugio de cientos de dragones salvajes, a los que cuida un misterioso guardián. Hipo y los suyos se unen al guardián para proteger a los dragones de las fuerzas malignas que quieren acabar con ellos.	https://image.tmdb.org/t/p/w500/bXcRw7FL8QzUZOvY2fZdwDv5ymQ.jpg	Fantasía, Acción, Aventura, Animación, Familia	7.682	0	0";;
"How To Train Your Dragon 3 - The Hidden World [2019][1080p][4.55 Gb]	Cómo entrenar a tu dragón 3	2019	""Lo que comenzó como la inesperada amistad entre un joven vikingo y un temible dragón, Furia Nocturna,  se ha convertido en una épica trilogía que ha recorrido sus vidas. En esta nueva entrega, Hipo y Desdentao descubrirán finalmente su verdadero destino: para uno, gobernar Isla Mema junto a Astrid";" para el otro, ser el líder de su especie. Pero, por el camino, deberán poner a prueba los lazos que los unen, plantando cara a la mayor amenaza que jamás haya afrontado... y a la aparición de una Furia Nocturna hembra.""	https://image.tmdb.org/t/p/w500/rhnoAReqO3Xoe6GbJhT3409lnq8.jpg	Animación, Familia, Aventura	7.751	0	0";
"I Am Frankelda [2025][1080p][3 Gb]	Soy Frankelda	2025	Frankelda, una decidida escritora mexicana del siglo XIX, viaja a su subconsciente para enfrentarse a los monstruos sobre los que ha escrito. Guiada por un príncipe atormentado, deberá restablecer el equilibrio entre ficción y realidad antes de que sea demasiado tarde.	https://image.tmdb.org/t/p/w500/bp7TxHXrUlTfCIiA0z2pdkX9X56.jpg	Animación, Familia, Fantasía, Terror, Aventura	8.377	0	0";;
"Ice Age [2002][1080p][2.61 Gb]	Ice Age: La edad de hielo	2002	Hace muchos, muchos años, tantos como 20.000, una pequeña ardirata de nombre Scrat quería esconder una bellota en el hielo. Pero lo que hace es provocar una semicatástrofe que provoca que todos los animales migren hacia el sur, hacia tierras más cálidas. Bueno, lo que se dice todos, todos, no. Porque hay uno que lleva la contraria: se trata del mamut Manfred, un auténtico lobo solitario vagabundo y soberbio que va hacia el norte sólo porque los demás están yendo hacia el sur.	https://image.tmdb.org/t/p/w500/9rpdhn7p7mDZW2rUXsINf9c6sR5.jpg	Animación, Comedia, Familia, Aventura	7.376	0	0";;
"Ice Age 2 [2006][1080p][2.65 Gb]	Ice Age 2: El deshielo	2006	¡Tus héroes favoritos han vuelto con otra magnífica aventura en esta gélida secuela del magnífico éxito mundial Ice Age! Y esta vez la cosa se calienta como la temperatura ambiente para Manny, Sid, Diego y Scrat, que abandonan su valle para escapar a una auténtica inundación de problemas y emprenden un divertidísimo viaje por un paisaje en pleno deshielo durante el cual conocen a Ellie.	https://image.tmdb.org/t/p/w500/q3D7vBGrJVrVrZSJjVQN8lN0e6c.jpg	Animación, Familia, Comedia, Aventura	6.719	0	0";;
"Ice Age 3 [2009][1080p][2.75 Gb]	Ice Age 3: El origen de los dinosaurios	2009	""Tercera parte de las aventuras de Diego, Scrat y compañía. En esta ocasión, les tocará lidiar con varios dinosaurios. Scrat sigue intentando apoderarse de la muy escurridiza bellota"; Manny y Ellie esperan el nacimiento de su mini-mamut;" Sid, el perezoso, se mete en un buen lío al formar de repente una familia propia tras encontrarse unos huevos de dinosaurio.""	https://image.tmdb.org/t/p/w500/zufHIdp8szvgkt8VCnJEF2fo1tN.jpg	Animación, Comedia, Familia, Aventura	6.767	0	0"
"Ice Age 4 [2012][1080p][2.89 Gb]	Ice Age 4: La formación de los continentes	2012	La loca persecución de Scrat por su escurridiza bellota desde el principio de los tiempos, tiene consecuencias que cambiarán el mundo: un cataclismo continental que desencadenará la mayor de las aventuras para Manny, Diego y Sid. En medio de estas agitaciones, Sid se reencuentra con su Abuelita Gruñona y la manada tropieza con una extraña cuadrilla de piratas de altamar decididos a impedirles su regreso a casa.	https://image.tmdb.org/t/p/w500/qYiZOCXkOYtYfolUUdJKoZ8xPsL.jpg	Animación, Comedia, Aventura, Familia	6.386	0	0";;
"Ice Age 5 [2016][1080p][2.97 Gb]	Ice Age: El gran cataclismo	2016	En la nueva historia veremos a Scrat y su mítica bellota en el espacio, donde accidentalmente desencadenará una serie de acontecimientos que amenazarán la Edad de Hielo. Para salvarse, Sid, Manny, Diego y el resto de la manada deberán salir de su hogar y embarcarse en una aventura llena de comedia y aventuras, viajando por tierras exóticas donde se encontrarán con nuevos y peculiares personajes.	https://image.tmdb.org/t/p/w500/vgxlqI40AUXmpBzcwlLsYZI5EcR.jpg	Aventura, Animación, Familia, Comedia, Ciencia ficción	6.113	0	0";;
"Igor [2008][720p][730 Mb]	Igor	2008	Igor, el ayudante del Dr. Glickenstein decide realizar su propio experimento, buscando ganar la feria de ciencia maligna, y de esa forma convertirse en un científico loco por derecho propio.	https://image.tmdb.org/t/p/w500/mI4SPs0bZQm7bGVZKToC8KUsTd.jpg	Animación, Comedia, Familia, Fantasía, Terror	5.9	0	0";;
"Injustice [2021][1080p][2.4 Gb]	Injustice	2021	Cuando Lois Lane muere, un Superman desquiciado decide tomar el control de la Tierra. Decidido a detenerlo, Batman crea un equipo de héroes que luchan por la libertad. Pero cuando los superhéroes van a la guerra, ¿podrá sobrevivir el mundo?	https://image.tmdb.org/t/p/w500/kgHNxYZc6vXzb9i91Y3cie6fDFi.jpg	Animación, Ciencia ficción, Fantasía, Acción	7.3	0	0";;
"Inside Job	Inside Job	2010	Documental no sólo sobre las causas, sino también sobre los responsables de la crisis económica mundial de 2008, que signíficó la ruina de millones de personas que perdieron sus hogares y empleos, y, además, puso en peligro la estabilidad económica de los países desarrollados. A través de una extensa investigación y de entrevistas a financieros, políticos y periodistas, se muestra el auge de empresarios sin escrúpulos y la degradación de la política y la educación.	https://image.tmdb.org/t/p/w500/iQNan0jUyZIkfMmhytPeGCCAfJI.jpg	Documental, Crimen	7.704	0	0";;
"Inside out [2015][1080p][1.33 Gb]	Del revés (Inside Out)	2015	Riley es una chica que disfruta o padece toda clase de sentimientos. Aunque su vida ha estado marcada por la Alegría, también se ve afectada por otro tipo de emociones. Lo que Riley no entiende muy bien es por qué motivo tiene que existir la Tristeza en su vida. Una serie de acontecimientos hacen que Alegría y Tristeza se mezclen en una peligrosa aventura que dará un vuelco al mundo de Riley.	https://image.tmdb.org/t/p/w500/sG3bHZWCMOZwhUq71WbPG9Vrrwc.jpg	Animación, Familia, Aventura, Drama, Comedia	7.909	0	0";;
"Inside Out 2 [2024][1080p][3.41 Gb]	Del revés 2 (Inside Out 2)	2024	Riley entra en la adolescencia y el Cuartel General de su cabeza sufre una repentina reforma para hacerle hueco a algo totalmente inesperado propio de la pubertad: ¡nuevas emociones! Alegría, Tristeza, Ira, Miedo y Asco, con años de impecable gestión a sus espaldas (según ellos...) no saben muy bien qué sentir cuando aparece con enorme ímpetu Ansiedad. Y no viene sola: le acompañan envidia, vergüenza y aburrimiento.	https://image.tmdb.org/t/p/w500/lE3DCRI7bQgHSiIuEPcFiXpiuGV.jpg	Animación, Aventura, Comedia, Familia	7.5	0	0";;
"Invencible	Invencible (Unbroken)	2014	Narra la historia real de Louis Zamperini, un joven que, tras participar en los Juegos Olímpicos de 1936, se alistó en las Fuerzas Aéreas de los Estados Unidos para luchar en la Segunda Guerra Mundial (1939-1945). Cuando el bombardero en el que combatía se estrelló en medio del Pacífico, navegó a la deriva hasta que fue capturado por los japoneses.	https://image.tmdb.org/t/p/w500/s4i7KnVQQnXM6LvBAlGYFUwJIeh.jpg	Drama, Bélica	7.4	0	0";;
"Jack y la Mecanica del Corazon [2014][720p][1 1 Gb]	La mecánica del corazón	2014	Edimburgo, año 1874. Jack es un chico no muy normal. Nació en la noche más fría de la historia y como consecuencia tiene el corazón congelado. Sin embargo, para que funcione, Madeleine, la comadrona, le instala un mecanismo especial que depende de un delicado reloj. Aunque su corazón funcione a la perfección, Jack debe seguir tres reglas que, si alguna vez incumpliera, su corazón dejaría de funcionar. Estas reglas son: no tocar nunca las agujas del mecanismo, dominar su ira, y sobre todo, no enamorarse jamás.  Todo va bien hasta que Jack conoce a Miss Acacia, una pequeña cantante que ve actuar en la calle. Jack, poniendo en riesgo su corazón, decide seguir a Miss Acacia, embarcándose en un viaje por toda Europa, lleno de aventuras y fantasía, en el que Jack aprenderá a descubrir a los demás, pero también a sí mismo.	https://image.tmdb.org/t/p/w500/1FxgKRI2eIfgxGQfSej211wjl4O.jpg	Animación, Romance, Aventura, Drama, Fantasía	7.221	0	0";;
"Jentry Chau Contra el Inframundo	Jentry Chau contra el inframundo	2024 - 2024	A punto de cumplir 16 años, una joven redescubre sus poderes de fuego —que había reprimido durante años— y tiene que enfrentarse a sus demonios… en todos los sentidos.	https://image.tmdb.org/t/p/w500/wz9bpOMLXJemaC6qVL9tyDtSBxp.jpg	Animación, Action & Adventure, Sci-Fi & Fantasy, Comedia	8.159	1	13";;
"Joseph - King of Dreams (2000)	Joseph: Rey de los Sueños	2000	Con su don de la interpretación de los sueños y su abrigo de colores brillantes, José inspira celos en sus hermanos y es vendido como esclavo. Esta narración animada de la historia del libro de Génesis de la Biblia cuenta con animación de primera clase y un trabajo de voz excelente, con Ben Affleck, Mark Hamill y Jody Benson. Sano y sin sermonear, José: Rey de los sueños hará las delicias de toda la familia.	https://image.tmdb.org/t/p/w500/A4Xa0kKzsGE8Tl6X2QARdhsAtUg.jpg	Familia, Animación, Drama	6.906	0	0";;
"Justice League - Crisis on Infinite Earths – Part One [2024][1080p][2.9 Gb]	Liga de la Justicia: Crisis en Tierras Infinitas - Parte 1	2024	El Antimonitor (la contrapartida malvada del Monitor) es liberado en el Multiverso DC y comienza a destruir las diferentes Tierras que lo componen. El Monitor intenta reclutar héroes de todo el Multiverso, pero es asesinado. Adaptación animada de La Liga de la Justicia: Crisis en Tierras Infinitas.	https://image.tmdb.org/t/p/w500/kr36D6FiF8mNrsPz4fL6OUAvrrJ.jpg	Animación, Ciencia ficción, Acción	7.3	0	0";;
"Justice League - Crisis on Infinite Earths – Part Three [2024][1080p][3 Gb]	Liga de la Justicia: Crisis en Tierras Infinitas - Parte 1	2024	El Antimonitor (la contrapartida malvada del Monitor) es liberado en el Multiverso DC y comienza a destruir las diferentes Tierras que lo componen. El Monitor intenta reclutar héroes de todo el Multiverso, pero es asesinado. Adaptación animada de La Liga de la Justicia: Crisis en Tierras Infinitas.	https://image.tmdb.org/t/p/w500/kr36D6FiF8mNrsPz4fL6OUAvrrJ.jpg	Animación, Ciencia ficción, Acción	7.3	0	0";;
"Justice League - Crisis on Infinite Earths – Part Two [2024][1080p][2.9 Gb]	Liga de la Justicia: Crisis en Tierras Infinitas - Parte 1	2024	El Antimonitor (la contrapartida malvada del Monitor) es liberado en el Multiverso DC y comienza a destruir las diferentes Tierras que lo componen. El Monitor intenta reclutar héroes de todo el Multiverso, pero es asesinado. Adaptación animada de La Liga de la Justicia: Crisis en Tierras Infinitas.	https://image.tmdb.org/t/p/w500/kr36D6FiF8mNrsPz4fL6OUAvrrJ.jpg	Animación, Ciencia ficción, Acción	7.3	0	0";;
"Justice League Dark [2017][1080p][1.16 Gb]	La Liga de la Justicia Oscura	2017	Cuando un grupo de demonios crean una serie de alucinaciones entre la población que les lleva a cometer crímenes violentos, Batman y el resto de la Liga de la Justicia se ve en la necesidad de formar un nuevo grupo de superhéroes con capacidades mágicas, liderado por Constantine, para salvar a la humanidad.	https://image.tmdb.org/t/p/w500/axfmTcHRK3TTXrCLXD9HtchMuwG.jpg	Animación, Acción, Aventura, Fantasía, Ciencia ficción, Terror	7.298	0	0";;
"Justice League Dark Apokolips War [2020][1080p][1.44 Gb]	Liga de la Justicia Oscura: La Guerra Apokolips	2020	Culminando seis años de una aventura que comenzó con el lanzamiento de Justice League: War en 2014, Justice League Dark: Apokolips War presenta un planeta Tierra totalmente devastado por el tirano intergaláctico Darkseid en el que los superhéroes apenas han podido hacer frente a la guerra. Los últimos bastiones de guerreros que aún quedan en pie deben reagruparse para crear una estrategia que les permita enfrentarse a Darkseid con el propósito de salvar al planeta y a sus pocos supervivientes. Esta es la guerra que acabará con todas las guerras.	https://image.tmdb.org/t/p/w500/osrf7VTgAwTLIr38dxJl2Y7q35H.jpg	Animación, Acción, Aventura, Fantasía	8.198	0	0";;
"Justice League Throne of Atlantis [2015][1080p][2.62 Gb]	La Liga de la Justicia: El trono de Atlantis	2015	Los Villanos Orm y Manta negra hacen su jugada contra el mundo de la superficie después de la batalla con las fuerzas de Apokolips de Darkseid en La Aventura Anterior, tuvieron consecuencias mortales para Atlantis, Mera, la reina de la civilización submarina perdida busca su otro hijo, al hemanastro de Orm, Arthur Curry. Ahora vive en el mundo de la superficie con misteriosos poderes que no entiende, siguiendo los pasos de Arthur en su destino como el verdadero Rey de Atlantis como Aquaman, ahora el, asociándose con la Liga de la justicia para salvar y unir a todas las personas del mundo, y de Detener los Planes de Orm y Manta Negra, Para Siempre..	https://image.tmdb.org/t/p/w500/hKHWoabqFg7QVS4Xqu5Q84PmuAo.jpg	Ciencia ficción, Acción, Animación, Aventura	6.983	0	0";;
"Justice League Warworld [2023]	Justice League: Warworld	2023	Hasta ahora, la Liga de la Justicia ha sido una asociación informal de personas con superpoderes. Pero cuando son arrastrados a Warworld, un lugar de interminables y brutales combates de gladiadores, Batman, Superman, Wonder Woman y los demás deben unirse de alguna manera para formar una resistencia imbatible capaz de llevar a todo un planeta a la libertad.	https://image.tmdb.org/t/p/w500/OKeu0tqBBdcnKVABplvLYhOEZT.jpg	Animación, Acción, Ciencia ficción, Aventura	6.754	0	0";;
"Justicia Joven	La Liga de la Justicia contra los Jóvenes Titanes	2016	Cuando las tendencias agresivas de Damian casi destruyen una misión de la Liga de la Justicia, es enviado para aprender el trabajo en equipo y ser entrenado junto a los Teen Titans. Sin embargo, el ajuste de la actitud de Damian resulta ser el menor de los problemas de los ‘Teen Titans’ cuando el satánico padre de Raven, Trigon, trama un plan para escapar de su prisión interdimensional. Para completar su regreso, Trigon debe tener la asistencia de Raven – y para lograr su objetivo, extenderá sus fuerzas demoníacas por todo el mundo infiltrándose en las mentes y los cuerpos de la Liga de la Justicia para hacer su voluntad. Para salvar el universo y evitar que la tierra se convierta literalmente en el infierno, los Teen Titans deben rescatar o derrotar a la Liga de la Justicia, y mantener encerrado a Trigon por toda la eternidad.	https://image.tmdb.org/t/p/w500/6cUDnsWQSeknDeasWpq59WNjWjd.jpg	Ciencia ficción, Acción, Animación	7.275	0	0";;
"Kim Possible	Kim Possible	2019	Kim Possible es una chica normal y corriente que se dedica a salvar al mundo en su tiempo libre. Con la ayuda de su mejor amigo, Ron Imparable, pelea contra villanos y hace frente a un sinfín de amenazas.	https://image.tmdb.org/t/p/w500/2iCzzBa7VfaWC3ihw1H1d6Ft8Wq.jpg	Familia, Acción, Aventura, Comedia, Película de TV	5.5	0	0";;
"King of the Hill	King of the Hill: A 70th Anniversary Retrospective of Cincinnati’s King Records	2014		https://image.tmdb.org/t/p/w500/6FpWaLetzr46QT9ktLEcOyLZwab.jpg	Música, Documental, Historia	4.6	0	0";;
"Kizazi Moto Generation Fire	Kizazi moto: Generación Fuego	2023 - 2023	""Esta antología de ciencia ficción animada cargada de acción presenta diez visiones futuristas de África que se inspiran en diferentes historias y culturas del continente. Con la producción del director y ganador de un Óscar, Peter Ramsey, estos diez cortos son obra de una nueva generación de animadores e imaginan desde una mirada africana nuevos mundos llenos de avances tecnológicos, extraterrestres, espíritus y monstruos";" África como nunca antes la has visto.""	https://image.tmdb.org/t/p/w500/vB147fvjZQsjDkmM0sPBoU59Ivq.jpg	Animación, Action & Adventure, Sci-Fi & Fantasy	6.2	1	10";
"Klaus [2019][1080p][2.87 Gb]	Klaus	2019	Un cartero egoísta y un juguetero huraño forjan una amistad muy especial, que sembrará la alegría en un pueblo frío y oscuro.	https://image.tmdb.org/t/p/w500/aLniylyJlbXEdxvaGSuQkRACWUx.jpg	Animación, Familia, Comedia	8.222	0	0";;
"Kung Fu Panda - El guerrero dragón	Kung Fu Panda: El caballero del dragón	2022 - 2023	Durante una merecida gira gastronómica por China, acusan injustamente a Po de hacer un uso indebido de un arma mágica. Para recuperar su reputación, Po recurre a la ayuda de una guerrera inglesa impaciente y juntos emprenden una búsqueda épica.	https://image.tmdb.org/t/p/w500/8wIb3Oy4fKkre9kAt7mCwWd4kaS.jpg	Animación, Action & Adventure, Comedia, Kids, Sci-Fi & Fantasy	7.492	3	42";;
"Kung Fu Panda - The Paws of Destiny	Kung Fu Panda: The Paws of Destiny	2018 - 2019	Aunque Po ha superado toda clase de retos a lo largo de su vida, nadie le ha preparado para asumir el más grande y peligroso de todos al que tendrá que hacer frente como profesor de Kung Fu junto a un grupo de niños en el Pueblo Panda. Tanto él como sus pupilos se embarcan en una aventura en la que viven increíbles historias, pelean en feroces batallas y van camino de convertirse en auténticas leyendas vivas.	https://image.tmdb.org/t/p/w500/74uZKQGQNJXhd362CvWp1vGF4f1.jpg	Animación, Kids, Familia, Action & Adventure, Comedia	7.245	2	26";;
"Kung Fu Panda 1 [2008][1080p][2.66Gb]	Kung Fu Panda	2008	El protagonista es un oso panda llamado Po, el más vago de todas las criaturas del Valle de la Paz. Con poderosos enemigos acercándose, la esperanza es depositada en una antigua profecía que dice que un héroe se alzará para salvarles. Voces originales de Jack Black, Angelina Jolie, Dustin Hoffman, Lucy Liu & Jackie Chan.	https://image.tmdb.org/t/p/w500/zcORJ8s9zsBjvKxP0k4FASQSjpf.jpg	Acción, Animación, Comedia, Familia	7.323	0	0";;
"Kung Fu Panda 2 [2011][1080p][2.71Gb]	Kung Fu Panda 2	2011	""Po está ahora viviendo su sueño como el Guerrero del Dragón, protegiendo el Valle de la Paz junto a sus amigos y sus compañeros maestros del kung fu. Los Cinco Furiosos. Pero su nueva e impresionante vida se encuentra amenazada por la aparición de un villano formidable, que planea usar un arma secreta imparable para conquistar China y destruir el kung fu. Po debe volver la vista a su pasado para descubrir los secretos de su misterioso origen";" solo entonces podrá adquirir la fuerza que necesita para vencer.""	https://image.tmdb.org/t/p/w500/aNji9U9SPTecmoqGippQUBEyouy.jpg	Animación, Familia, Comedia, Acción	7.066	0	0";
"Kung Fu Panda 3 [2016][1080p][3.66 Gb]	Kung Fu Panda 3	2016	Cuando el durante mucho tiempo perdido padre de Po aparece de repente, el dúo ya reunido viaja a un paraíso secreto de pandas para conocer a montones de nuevos e hilarantes osos. Pero cuando el villano sobrenatural Kai comienza a recorrer toda China venciendo a todos los maestros de kung fu, Po deberá hacer lo imposible: aprender a entrenar a una comunidad repleta de divertidos y torpes hermanos para formar el equipo definitivo de Kung Fu Pandas.	https://image.tmdb.org/t/p/w500/t11f8palNbICK9Ip5QLrUfhLJYq.jpg	Animación, Acción, Aventura, Comedia, Familia	6.927	0	0";;
"Kung Fu Panda 4 [2024][1080p][2.96 Gb]	Kung Fu Panda 4	2024	""Po se prepara para ser el líder espiritual del Valle de la Paz, buscando un sucesor como Guerrero Dragón. Mientras entrena a un nuevo practicante de kung fu, enfrenta al villano llamado """"el Camaleón"""", que evoca villanos del pasado, desafiando todo lo que Po y sus amigos han aprendido.""	https://image.tmdb.org/t/p/w500/2xgGWjM3a38E4KTLapvC53RnpN1.jpg	Acción, Aventura, Animación, Comedia, Familia, Fantasía	7.002	0	0";;
"La Bella Y La Bestia [1991][1080p][2.4 Gb]	La bella y la bestia	1991	Una hermosa joven llamada Bella acepta alojarse en un castillo con una bestia a cambio de la libertad de su padre. La bestia es, en realidad, un príncipe encantado. Para romper el hechizo, deberá ganarse el amor de una preciosa dama antes de que caiga el último pétalo de una rosa encantada.	https://image.tmdb.org/t/p/w500/1FxMtEUc6DP1MXsTBftOFaoCVVO.jpg	Romance, Familia, Animación, Fantasía	7.728	0	0";;
"La Bella Y La Bestia 2 - Una Navidad Encantada [1997][1080p][2.4 Gb]	La bella y la bestia 2: Una navidad encantada	1997	Es víspera de Navidad y Bella planea animar y decorar el sombrío castillo de Bestia con alegría y muchos adornos, aún sabiendo que Bestia odia la Navidad. Antes de que empiece la fiesta, Bella, junto a todos los personajes que encandilaron al mundo, descubren que el Maestro Fortes, un malvado órgano de tubos y su fiel y divertido compañero Pífano están tratando de sabotear el evento. Ni siquiera bajo esta terrible amenaza, Bella desiste de enseñar a Bestia el verdadero significado de la Navidad. Con una animación exquisita, esta película brilla con nuevos y sorprendentes personajes, música envolvente y magia.	https://image.tmdb.org/t/p/w500/xY0MXOXPfUIif5RkzpobTMvCtma.jpg	Animación, Fantasía, Familia, Romance	6.233	0	0";;
"La Cancion Del Mar [2014][1080p][3.49 Gb]	La canción del mar	2014	Ben y Saoirse son dos hermanos que viven en un faro de una isla junto a su padre que, para protegerlos de los peligros del mar, los envía con su abuela a la ciudad. Allí Ben descubre que su hermana pequeña es una Selkie, un hada del mar, una niña-foca que cantando puede liberar a los Seres Mágicos del sortilegio que les hizo la Bruja de los Búhos. Juntos emprenderán un viaje fantástico.	https://image.tmdb.org/t/p/w500/5JuW5B0UnD1ihhRXJdZbuvfrgcS.jpg	Familia, Animación, Fantasía	7.996	0	0";;
"La Casa Buho	Casa Búho	2020 - 2023	Luz, una adolescente humana muy segura de sí misma, tropieza con un portal a un nuevo mundo mágico donde se hace amiga de una bruja rebelde, Eda, y de un adorable y diminuto guerrero, Rey. A pesar de no saber hacer magia, Luz persigue su sueño de convertirse en bruja aprendiendo de Eda en la Casa Búho, y acaba por encontrar una nueva familia en un entorno extraño.	https://image.tmdb.org/t/p/w500/lE5OYF0axjCVtrxLMetA8i8QpZ8.jpg	Animación, Action & Adventure, Comedia, Sci-Fi & Fantasy, Familia	8.666	3	43";;
"La Cenicienta [1950][1080p][2.52 Gb]	La Cenicienta	1950	Cenicienta vive con su madrastra y las dos hijas de ésta. Las tres le hacen la vida imposible y la tienen trabajando sin parar en las labores del hogar. Pero ella establece amistad con los animales de la casa, que le ayudarán a asistir al baile Real al que su madre no le permite ir.	https://image.tmdb.org/t/p/w500/vqzeSm5Agvio7DahhKXaySUbUUW.jpg	Familia, Fantasía, Animación, Romance	7.049	0	0";;
"La Cenicienta 2 - Un Sueño Hecho Realidad [2002][1080p][984 Mb]	La Cenicienta II: ¡La magia no termina a media noche!	2002	Recién coronada como princesa, Cenicienta aprende rápidamente que la vida en palacio y sus responsabilidades reales son más complicadas de lo que había imaginado. En tres conmovedoras historias, Cenicienta pide a sus amigos los animales y a su Hada Madrina que la ayuden a desempeñar su papel real, y descubre que ser fiel a uno mismo es la mejor manera de hacer sus sueños realidad.	https://image.tmdb.org/t/p/w500/eUoQl8Bhd4s5woTc35lHFijhLcW.jpg	Familia, Animación, Romance, Fantasía	6.123	0	0";;
"La Cenicienta 3 - Un Giro en el Tiempo [2007][1080p][991 Mb]	La Cenicienta III: Qué pasaría si…	2007	La madrastra de Cenicienta se apodera de la varita mágica del Hada Madrina para viajar atrás en el tiempo y lograr cambiar el curso de los acontecimientos mediante un maléfico hechizo.	https://image.tmdb.org/t/p/w500/hnu7CGMc1zQejwjUIEGcSikdhmV.jpg	Animación, Romance, Familia, Fantasía	6.5	0	0";;
"La Cumbre de los Dioses [2021][1080p][3 Gb]	La cumbre de los dioses	2021	¿George Mallory murió subiendo o bajando por la cima del Everest, el 8 de junio de 1924? Setenta años después, cuando Fukamachi, un joven reportero, compra una vieja cámara Kodak en un mercado de Katmandú, cree que puede encontrar la respuesta. Este descubrimiento lo lleva al mundo de los montañeros ansiosos que persiguen conquistas imposibles, donde el amor y los fantasmas se entrelazan.	https://image.tmdb.org/t/p/w500/xHJAunNc8wyC4hOprU1Vur7dgSs.jpg	Animación, Aventura, Misterio	7.8	0	0";;
"La Dama Y El Vagabundo [1955][1080p][3.5 Gb]	La dama y el vagabundo	1955	""Reina es una preciosa perrita de pura raza que vive feliz en su hogar. Jaimito y Linda, la miman mucho y ella corresponde feliz a sus cuidados. Sin embargo, el día en que sus dueños deciden hacer un viaje, la vida de Reina se ve alterada";" la llegada de la tía Sara con sus gatos no provoca más que sobresaltos. Menos mal que conoce a Golfo, un perro vagabundo muy simpático""	https://image.tmdb.org/t/p/w500/vHbizQYlkL8MwtOdsdWaPuR5N5w.jpg	Animación, Familia, Romance, Aventura, Comedia	7.124	0	0";
"La Dama Y El Vagabundo 2 [2001][1080p][2.7 Gb]	La dama y el vagabundo 2: Las aventuras de Golfillo	2001	Los encantadores perritos Reina y Golfo han sido padres de cuatro cachorros: Anette, Colette, Daniela y Golfillo. Este último es el más travieso de todos y se ve atraído por la libertad del mundo exterior lejos de las normas domésticas. Una noche escapa de casa y conoce a Ángela, una preciosa perrita huérfana que vive en las calles. Junto a ella y un grupo de nuevos amigos descubrirá un mundo desconocido para él. ¿Encontrará Golfillo la aventura de su vida en las calles, o aprenderá a valorar el amor que le brinda la familia que dejó atrás?	https://image.tmdb.org/t/p/w500/wHVa5xmRD4r2RT4peQMSQqz1hNs.jpg	Animación, Familia, Romance, Aventura	6.343	0	0";;
"La Fiesta de las Salchichas - Comidatopia	La fiesta de las salchichas: Frutopía	2024 - 2025	Tras acabar con la humanidad, la comida intenta crear su propia utopía.	https://image.tmdb.org/t/p/w500/vauSduQlUarPFPPq5MIhSvmdSw7.jpg	Animación, Comedia, Action & Adventure, Sci-Fi & Fantasy	6.842	2	16";;
"La Fiesta de las Salchichas [2016][1080p][3.81 Gb]	La fiesta de las salchichas	2016	La trama sigue el drama de una salchicha y sus amigos, otros productos de supermercado, cuando descubren que serán brutalmente asesinados al llegar a casa de sus compradores. Es entonces que necesitan encontrar una manera de regresar al supermercado y avisar a sus amigos de lo que realmente sucede con la comida.	https://image.tmdb.org/t/p/w500/4YiHAxavhMLaBqOzx7ZirmOwNkD.jpg	Aventura, Animación, Comedia, Fantasía	5.752	0	0";;
"La Gallina Turuleca [2019][1080p][2.92 Gb]	La Gallina Turuleca	2020	Turuleca es una gallina singular. Su peculiar aspecto desata las burlas del resto del gallinero, hasta que un día Isabel, una ex-profesora de música, la lleva a vivir a su granja. Allí, feliz y en armonía, la gallina descubre su gran talento oculto con la ayuda de Isabel: ¡Turuleca no sólo puede hablar, sino que canta como jamás has oído cantar a una gallina!	https://image.tmdb.org/t/p/w500/cTZb36ZHSGWX12GZj6mIE3TAXfe.jpg	Familia, Animación, Música, Aventura	7.1	0	0";;
